Iteration	Alpha	Abs_Diff_Flows	Rel_Diff_Flows	QoPI	QoPI_Flow
    1	       0.005000	    7505.000000	       2.084700	   51427.793600	       5.335900
    2	       0.004700	    8482.288700	       1.726700	   29142.413300	       4.548400
    3	       0.004600	    8014.815400	       2.084200	   23713.009800	       3.399300
    4	       0.003700	    4507.420000	       1.252100	   14973.395600	       2.009100
    5	       0.003200	    3415.312500	       0.948700	   10679.448500	       1.127600
    6	       0.002800	    2402.839600	       0.667500	    4549.340000	       0.400300
    7	       0.002200	    1256.001500	       0.348900	    1626.436500	       0.130400
    8	       0.001600	     414.664100	       0.115200	     828.884000	       0.060900
    9	       0.001200	     170.819800	       0.047400	     726.102000	       0.053600
   10	       0.001000	     116.812200	       0.032400	     694.469100	       0.051400
   11	       0.000900	      85.237400	       0.023700	     642.717900	       0.047100
   12	       0.000800	      70.447600	       0.019600	     625.210000	       0.045900
   13	       0.000800	      63.264600	       0.017600	     611.896800	       0.045000
   14	       0.000800	      59.079400	       0.016400	     600.076700	       0.044300
   15	       0.000700	      51.740600	       0.014400	     585.064800	       0.043300
   16	       0.000700	      47.429500	       0.013200	     572.502100	       0.042500
   17	       0.000700	      44.799400	       0.012400	     557.930300	       0.041600
   18	       0.000700	      42.999200	       0.011900	     542.287400	       0.040400
   19	       0.000600	      34.753700	       0.009700	     525.430900	       0.039100
   20	       0.000500	      29.720800	       0.008300	     510.963100	       0.038000
   21	       0.000500	      26.657000	       0.007400	     498.433300	       0.037100
   22	       0.000500	      24.921000	       0.006900	     486.505300	       0.036200
   23	       0.000500	      23.790300	       0.006600	     475.424900	       0.035400
   24	       0.000500	      22.956500	       0.006400	     466.660200	       0.034800
   25	       0.000500	      22.169900	       0.006200	     457.899600	       0.034200
   26	       0.000500	      21.457000	       0.006000	     449.182700	       0.033500
   27	       0.000500	      20.857000	       0.005800	     440.526600	       0.032900
   28	       0.000500	      20.322600	       0.005600	     432.377200	       0.032300
   29	       0.000400	      19.850500	       0.005500	     424.907400	       0.031600
   30	       0.000400	      19.428000	       0.005400	     417.495100	       0.031000
   31	       0.000400	      19.037000	       0.005300	     410.168000	       0.030400
   32	       0.000400	      18.666900	       0.005200	     402.929500	       0.029800
   33	       0.000400	      18.312000	       0.005100	     395.532900	       0.029100
   34	       0.000400	      17.961300	       0.005000	     388.028800	       0.028500
   35	       0.000400	      17.610500	       0.004900	     380.638900	       0.027900
   36	       0.000400	      17.028500	       0.004700	     376.845100	       0.027700
   37	       0.000400	      16.420300	       0.004600	     375.489900	       0.027800
   38	       0.000400	      15.553600	       0.004300	     374.849900	       0.028000
   39	       0.000400	      14.462000	       0.004000	     375.205500	       0.028300
   40	       0.000400	      13.881900	       0.003900	     374.782100	       0.028500
   41	       0.000400	      13.528300	       0.003800	     373.744800	       0.028500
   42	       0.000400	      13.294500	       0.003700	     372.203400	       0.028400
   43	       0.000400	      13.121300	       0.003600	     370.912900	       0.028400
   44	       0.000400	      13.040000	       0.003600	     369.347700	       0.028400
   45	       0.000400	      12.996900	       0.003600	     367.548100	       0.028300
   46	       0.000400	      12.966200	       0.003600	     365.551900	       0.028200
   47	       0.000400	      12.936000	       0.003600	     363.392800	       0.028100
   48	       0.000400	      12.901700	       0.003600	     361.101200	       0.028000
   49	       0.000400	      12.859700	       0.003600	     358.704000	       0.027900
   50	       0.000400	      12.620200	       0.003500	     355.555800	       0.027700
   51	       0.000400	      12.329300	       0.003400	     351.920000	       0.027500
   52	       0.000400	      12.146400	       0.003400	     348.330000	       0.027300
   53	       0.000300	      12.013600	       0.003300	     344.780500	       0.027000
   54	       0.000300	      11.903500	       0.003300	     341.272100	       0.026800
   55	       0.000300	      11.803400	       0.003300	     337.808000	       0.026600
   56	       0.000300	      11.707000	       0.003300	     334.391800	       0.026300
   57	       0.000300	      11.611900	       0.003200	     331.027200	       0.026100
   58	       0.000300	      11.536400	       0.003200	     327.717100	       0.025800
   59	       0.000300	      11.473300	       0.003200	     324.461000	       0.025600
   60	       0.000300	      11.385200	       0.003200	     320.723900	       0.025200
   61	       0.000300	      11.244600	       0.003100	     316.109500	       0.024800
   62	       0.000300	      11.114300	       0.003100	     313.291600	       0.024600
